epoch, loss, val loss, acc, val acc
0, 1.3877908195058504, 2.1001201540231706, 0.721759252043234, 0.6666666865348816
1, 1.3477460126909944, 2.010120398302873, 0.7657407331797812, 0.6666666865348816
2, 1.352411705462469, 1.9876495232184728, 0.753240733842055, 0.5805555728574594
3, 1.3408775930189425, 2.0128844757874806, 0.7537036961151494, 0.5930555718640487
4, 1.3374130711373355, 1.9514918121198812, 0.7388888819350137, 0.5916666833062967
5, 1.3382633484072155, 1.9351557372758785, 0.7462962930401166, 0.5930555718640487
6, 1.3562488649454383, 1.9601704077795148, 0.7004629594584306, 0.48055556292335194
7, 1.3527296841765444, 1.957809354302784, 0.7254629597895675, 0.4986111119389534
8, 1.3408403302439384, 1.9638763551289837, 0.6504629612796836, 0.5125000151495139
9, 1.3461286599230435, 1.9144390414158503, 0.5009259335696697, 0.6930555462837219
