epoch, loss, val loss, acc, val acc
0, 2.621523703717523, 2.4901990508039793, 0.12222222396069103, 0.09722222412625948
1, 2.3363059908151627, 2.350521712501844, 0.15833333652052614, 0.09861111293236414
2, 2.1955763710041842, 2.393864766259988, 0.1745370394239823, 0.12361111293236414
3, 2.173622648500734, 2.2854281196991604, 0.1597222247471412, 0.11527778009573618
4, 2.123672259350618, 2.285860802978277, 0.19490741085675028, 0.12777778084079425
5, 2.1194883670243954, 2.2398178120454153, 0.18703704016904035, 0.13055555845300357
6, 2.1224510851005713, 2.2938618076344333, 0.16481481732593642, 0.1402777800957362
7, 2.072747218857209, 2.339988174289465, 0.19398148473766114, 0.1888888926555713
8, 2.0462338409490055, 2.209976602594058, 0.21388889286253188, 0.1305555577079455
9, 2.068055723193619, 2.2508195417622727, 0.18888889199329748, 0.1361111130565405
